UavEast	UavNorth
[meter]	[meter]
747885	3637272
747885	3637272
747885	3637272
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747893	3637269
747903	3637267
747903	3637267
747903	3637267
747903	3637267
747903	3637267
747910	3637265
747910	3637265
747910	3637265
747910	3637265
747910	3637265
747918	3637263
747918	3637263
747918	3637263
747918	3637263
747918	3637263
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747926	3637261
747937	3637257
747937	3637257
747937	3637257
747937	3637257
747937	3637257
747937	3637257
747937	3637257
747937	3637257
747945	3637256
747945	3637256
747945	3637256
747945	3637256
747945	3637256
747953	3637254
747953	3637254
747953	3637254
747953	3637254
747953	3637254
747961	3637252
747961	3637252
747961	3637252
747961	3637252
747961	3637252
747961	3637252
747961	3637252
747961	3637252
747971	3637250
747971	3637250
747971	3637250
747971	3637250
747978	3637249
747978	3637249
747978	3637249
747978	3637249
747978	3637249
747978	3637249
747978	3637249
747978	3637249
747986	3637247
747986	3637247
747986	3637247
747986	3637247
747986	3637247
747986	3637247
747986	3637247
747986	3637247
747986	3637247
747986	3637247
747995	3637246
747995	3637246
747995	3637246
747995	3637246
747995	3637246
748004	3637244
748004	3637244
748004	3637244
748004	3637244
748004	3637244
748013	3637243
748013	3637243
748013	3637243
748013	3637243
748013	3637243
748013	3637243
748013	3637243
748013	3637243
748022	3637240
748022	3637240
748022	3637240
748022	3637240
748022	3637240
748029	3637239
748029	3637239
748029	3637239
748029	3637239
748029	3637239
748040	3637238
748040	3637238
748040	3637238
748040	3637238
748040	3637238
748040	3637238
748040	3637238
748048	3637238
748048	3637238
748048	3637238
748048	3637238
748048	3637238
748057	3637237
748057	3637237
748057	3637237
748057	3637237
748057	3637237
748057	3637237
748057	3637237
748057	3637237
748057	3637237
748057	3637237
748057	3637237
748057	3637237
748057	3637237
748065	3637235
748065	3637235
748065	3637235
748065	3637235
748065	3637235
748075	3637234
748075	3637234
748075	3637234
748075	3637234
748075	3637234
748084	3637233
748084	3637233
748084	3637233
748084	3637233
748084	3637233
748092	3637234
748092	3637234
748092	3637234
748092	3637234
748092	3637234
748092	3637234
748092	3637234
748092	3637234
748100	3637233
748100	3637233
748100	3637233
748100	3637233
748100	3637233
748111	3637233
748111	3637233
748111	3637233
748111	3637233
748111	3637233
748111	3637233
748111	3637233
748111	3637233
748111	3637233
748111	3637233
748111	3637233
748111	3637233
748128	3637232
748128	3637232
748128	3637232
748128	3637232
748128	3637232
748128	3637232
748128	3637232
748128	3637232
748128	3637232
748128	3637232
748136	3637233
748136	3637233
748136	3637233
748136	3637233
748136	3637233
748147	3637232
748147	3637232
748147	3637232
748147	3637232
748147	3637232
748147	3637232
748147	3637232
748147	3637232
748155	3637232
748155	3637232
748155	3637232
748155	3637232
748155	3637232
748164	3637232
748164	3637232
748164	3637232
748164	3637232
748164	3637232
748174	3637232
748174	3637232
748174	3637232
748174	3637232
748174	3637232
748174	3637232
748174	3637232
748174	3637232
748174	3637232
748174	3637232
748184	3637234
748184	3637234
748184	3637234
748184	3637234
748184	3637234
748193	3637234
748193	3637234
748193	3637234
748193	3637234
748193	3637234
748202	3637234
748202	3637234
748202	3637234
748202	3637234
748202	3637234
748202	3637234
748202	3637234
748202	3637234
748202	3637234
748202	3637234
748210	3637236
748210	3637236
748210	3637236
748210	3637236
748210	3637236
748220	3637236
748220	3637236
748220	3637236
748220	3637236
748220	3637236
748220	3637236
748220	3637236
748220	3637236
748230	3637237
748230	3637237
748230	3637237
748230	3637237
748230	3637237
748238	3637237
748238	3637237
748238	3637237
748238	3637237
748238	3637237
748247	3637239
748247	3637239
748247	3637239
748247	3637239
748247	3637239
748255	3637240
748255	3637240
748255	3637240
748255	3637240
748255	3637240
748255	3637240
748255	3637240
748264	3637242
748264	3637242
748264	3637242
748264	3637242
748264	3637242
748264	3637242
748264	3637242
748264	3637242
748264	3637242
748264	3637242
748274	3637243
748274	3637243
748274	3637243
748274	3637243
748274	3637243
748283	3637244
748283	3637244
748283	3637244
748283	3637244
748283	3637244
748292	3637246
748292	3637246
748292	3637246
748292	3637246
748292	3637246
748292	3637246
748292	3637246
748292	3637246
748301	3637247
748301	3637247
748301	3637247
748301	3637247
748301	3637247
748301	3637247
748301	3637247
748311	3637250
748311	3637250
748311	3637250
748311	3637250
748311	3637250
748320	3637252
748320	3637252
748320	3637252
748320	3637252
748320	3637252
748320	3637252
748320	3637252
748320	3637252
748320	3637252
748320	3637252
748320	3637252
748330	3637254
748330	3637254
748330	3637254
748330	3637254
748330	3637254
748341	3637257
748341	3637257
748341	3637257
748341	3637257
748341	3637257
748350	3637259
748350	3637259
748350	3637259
748350	3637259
748350	3637259
748350	3637259
748350	3637259
748360	3637262
748360	3637262
748360	3637262
748360	3637262
748360	3637262
748360	3637262
748360	3637262
748360	3637262
748360	3637262
748360	3637262
748369	3637265
748369	3637265
748369	3637265
748378	3637267
748378	3637267
748378	3637267
748378	3637267
748378	3637267
748378	3637267
748378	3637267
748378	3637267
748378	3637267
748378	3637267
748386	3637270
748386	3637270
748386	3637270
748386	3637270
748386	3637270
748396	3637273
748396	3637273
748396	3637273
748396	3637273
748396	3637273
748405	3637276
748405	3637276
748405	3637276
748405	3637276
748405	3637276
748405	3637276
748405	3637276
748416	3637279
748416	3637279
748416	3637279
748416	3637279
748416	3637279
748416	3637279
748416	3637279
748416	3637279
748424	3637283
748424	3637283
748424	3637283
748424	3637283
748424	3637283
748424	3637283
748424	3637283
748434	3637286
748434	3637286
748434	3637286
748434	3637286
748434	3637286
748434	3637286
748434	3637286
748434	3637286
748445	3637290
748445	3637290
748445	3637290
748445	3637290
748445	3637290
748452	3637293
748452	3637293
748452	3637293
748452	3637293
748452	3637293
748462	3637297
748462	3637297
748462	3637297
748462	3637297
748462	3637297
748462	3637297
748462	3637297
748462	3637297
748469	3637300
748469	3637300
748469	3637300
748469	3637300
748469	3637300
748469	3637300
748469	3637300
748479	3637306
748479	3637306
748479	3637306
748479	3637306
748479	3637306
748479	3637306
748479	3637306
748479	3637306
748479	3637306
748479	3637306
748488	3637309
748488	3637309
748488	3637309
748488	3637309
748488	3637309
748488	3637309
748488	3637309
748488	3637309
748496	3637313
748496	3637313
748496	3637313
748496	3637313
748496	3637313
748504	3637317
748504	3637317
748504	3637317
748504	3637317
748504	3637317
748514	3637322
748514	3637322
748514	3637322
748514	3637322
748514	3637322
748522	3637326
748522	3637326
748522	3637326
748522	3637326
748522	3637326
748531	3637331
748531	3637331
748531	3637331
748531	3637331
748531	3637331
748531	3637331
748531	3637331
748539	3637335
748539	3637335
748539	3637335
748539	3637335
748539	3637335
748539	3637335
748539	3637335
748539	3637335
748549	3637340
748549	3637340
748549	3637340
748549	3637340
748549	3637340
748549	3637340
748549	3637340
748557	3637346
748557	3637346
748557	3637346
748565	3637349
748565	3637349
748565	3637349
748565	3637349
748565	3637349
748565	3637349
748565	3637349
748565	3637349
748565	3637349
748565	3637349
748573	3637354
748573	3637354
748573	3637354
748573	3637354
748573	3637354
748581	3637360
748581	3637360
748581	3637360
748581	3637360
748581	3637360
748581	3637360
748581	3637360
748581	3637360
748581	3637360
748581	3637360
748590	3637365
748590	3637365
748590	3637365
748597	3637370
748597	3637370
748597	3637370
748597	3637370
748597	3637370
748597	3637370
